assay_id,auc,descriptor,auc_50,auc_70,auc_90
1_1,0.60238095238095,cnn1e2_es_op,TRUE,FALSE,FALSE
10_19,0.45238095238095,cnn1e2_es_op,FALSE,FALSE,FALSE
10_20,0.35576923076923,cnn1e2_es_op,FALSE,FALSE,FALSE
100_277,0.8,cnn1e2_es_op,TRUE,TRUE,FALSE
100_278,0.78571428571428,cnn1e2_es_op,TRUE,TRUE,FALSE
104_291,0.72179487179486,cnn1e2_es_op,TRUE,TRUE,FALSE
105_355,0.81593406593406,cnn1e2_es_op,TRUE,TRUE,FALSE
105_369,0.20833333333332,cnn1e2_es_op,FALSE,FALSE,FALSE
105_361,0.6,cnn1e2_es_op,TRUE,FALSE,FALSE
105_378,0.5038961038961,cnn1e2_es_op,TRUE,FALSE,FALSE
105_352,0.56666666666666,cnn1e2_es_op,TRUE,FALSE,FALSE
104_289,0.68461538461538,cnn1e2_es_op,TRUE,FALSE,FALSE
105_377,0.5,cnn1e2_es_op,FALSE,FALSE,FALSE
105_375,0.64285714285714,cnn1e2_es_op,TRUE,FALSE,FALSE
104_325,0.93333333333333,cnn1e2_es_op,TRUE,TRUE,TRUE
104_297,0.95833333333332,cnn1e2_es_op,TRUE,TRUE,TRUE
104_295,0.57142857142857,cnn1e2_es_op,TRUE,FALSE,FALSE
104_299,1.0,cnn1e2_es_op,TRUE,TRUE,TRUE
104_300,0.23809523809523,cnn1e2_es_op,FALSE,FALSE,FALSE
104_326,0.73809523809522,cnn1e2_es_op,TRUE,TRUE,FALSE
104_319,0.28571428571428,cnn1e2_es_op,FALSE,FALSE,FALSE
104_323,1.0,cnn1e2_es_op,TRUE,TRUE,TRUE
104_334,0.28571428571428,cnn1e2_es_op,FALSE,FALSE,FALSE
105_339,0.72727272727272,cnn1e2_es_op,TRUE,TRUE,FALSE
105_341,0.7,cnn1e2_es_op,TRUE,FALSE,FALSE
105_360,0.55,cnn1e2_es_op,TRUE,FALSE,FALSE
105_362,0.5,cnn1e2_es_op,FALSE,FALSE,FALSE
105_374,0.65833333333333,cnn1e2_es_op,TRUE,FALSE,FALSE
105_382,0.66666666666666,cnn1e2_es_op,TRUE,FALSE,FALSE
105_385,0.625,cnn1e2_es_op,TRUE,FALSE,FALSE
105_391,0.5,cnn1e2_es_op,FALSE,FALSE,FALSE
106_392,0.8,cnn1e2_es_op,TRUE,TRUE,FALSE
108_394,0.375,cnn1e2_es_op,FALSE,FALSE,FALSE
109_395,0.17142857142856,cnn1e2_es_op,FALSE,FALSE,FALSE
11_21,0.64285714285714,cnn1e2_es_op,TRUE,FALSE,FALSE
11_22,1.0,cnn1e2_es_op,TRUE,TRUE,TRUE
110_396,0.5,cnn1e2_es_op,FALSE,FALSE,FALSE
110_397,0.5403846153846,cnn1e2_es_op,TRUE,FALSE,FALSE
110_398,0.74419504643962,cnn1e2_es_op,TRUE,TRUE,FALSE
110_399,0.45652173913043,cnn1e2_es_op,FALSE,FALSE,FALSE
110_400,0.73214285714285,cnn1e2_es_op,TRUE,TRUE,FALSE
110_401,0.51666666666666,cnn1e2_es_op,TRUE,FALSE,FALSE
111_402,0.98148148148148,cnn1e2_es_op,TRUE,TRUE,TRUE
112_406,0.75,cnn1e2_es_op,TRUE,TRUE,FALSE
113_407,0.55,cnn1e2_es_op,TRUE,FALSE,FALSE
114_408,0.375,cnn1e2_es_op,FALSE,FALSE,FALSE
115_409,0.33333333333333,cnn1e2_es_op,FALSE,FALSE,FALSE
116_411,0.79,cnn1e2_es_op,TRUE,TRUE,FALSE
116_412,0.5,cnn1e2_es_op,FALSE,FALSE,FALSE
116_413,0.60267857142857,cnn1e2_es_op,TRUE,FALSE,FALSE
116_414,0.5,cnn1e2_es_op,FALSE,FALSE,FALSE
116_415,0.53333333333333,cnn1e2_es_op,TRUE,FALSE,FALSE
116_416,0.4,cnn1e2_es_op,FALSE,FALSE,FALSE
116_420,0.85,cnn1e2_es_op,TRUE,TRUE,FALSE
116_421,0.39999999999999,cnn1e2_es_op,FALSE,FALSE,FALSE
116_424,0.5,cnn1e2_es_op,FALSE,FALSE,FALSE
116_425,0.1578947368421,cnn1e2_es_op,FALSE,FALSE,FALSE
116_426,0.41666666666666,cnn1e2_es_op,FALSE,FALSE,FALSE
116_427,0.47826086956521,cnn1e2_es_op,FALSE,FALSE,FALSE
117_429,0.72321428571428,cnn1e2_es_op,TRUE,TRUE,FALSE
117_430,0.72236842105262,cnn1e2_es_op,TRUE,TRUE,FALSE
118_432,0.73214285714285,cnn1e2_es_op,TRUE,TRUE,FALSE
118_434,0.5,cnn1e2_es_op,FALSE,FALSE,FALSE
12_23,0.7,cnn1e2_es_op,TRUE,FALSE,FALSE
13_24,0.75,cnn1e2_es_op,TRUE,TRUE,FALSE
133_474,0.0,cnn1e2_es_op,FALSE,FALSE,FALSE
134_476,0.0,cnn1e2_es_op,FALSE,FALSE,FALSE
134_477,0.08333333333333,cnn1e2_es_op,FALSE,FALSE,FALSE
135_479,0.33333333333333,cnn1e2_es_op,FALSE,FALSE,FALSE
14_25,0.95384615384615,cnn1e2_es_op,TRUE,TRUE,TRUE
143_495,0.92857142857142,cnn1e2_es_op,TRUE,TRUE,TRUE
145_497,0.70833333333332,cnn1e2_es_op,TRUE,TRUE,FALSE
